Plants, Artists (Ranking: higher = better), 
Potato , Potato  art artist painting Vincent van Gogh, Vincent van Gogh (75), Parr (27), Jean-Francois Millet (13), Erte (11), Caravaggio (9), Paul Gauguin (7), Leonardo da Vinci (7), Osai (7), Jess (6), Camille Pissarro (5), Raphael (5), Titian (5), Andrew Wyeth (5), Edgar Degas (4), Anne Geddes (4), El Greco (4), Claude Monet (4), Pierre-Auguste Renoir (4), 
Apple, Apple art artist painting Paul Cezanne, Paul Cezanne (16), Gustav Klimt (10), Claude Monet (10), Rene Magritte (9), Vincent van Gogh (7), Anne Geddes (6), Leonardo da Vinci (6), Orso (6), Erte (4), Edward Hopper (4), Frederick Morgan (4), Norman Rockwell (4), Andy Warhol (4), 
Gourd, Gourd art artist painting Christo, Christo (10), Erro (10), Jess (6), 
Acacia , Acacia  art artist painting Vincent van Gogh, Vincent van Gogh (20), Christo (19), Frida Kahlo (15), Parr (14), Erte (9), De Es (7), Mikhail Larionov (6), Leonardo da Vinci (5), Mark Rothko (5), Dr. Seuss (5), Erro (4), Anne Geddes (4), Johan Laurentz Jensen (4), Gustav Klimt (4), Henri Matisse (4), Claude Monet (4), Pablo Picasso (4), Jackson Pollock (4), Norman Rockwell (4), 
Pomegranate, Pomegranate art artist painting Maria Sibylla Merian, Maria Sibylla Merian (59), Osai (22), Salvador Dali (20), Erte (13), Jess (13), Parr (13), Erro (10), Claude Monet (7), Georg Dionysius Ehret (6), John Singer Sargent (6), Laurie Anderson (5), Paul Cezanne (5), Pierre-Auguste Renoir (5), Susan Seddon Boulet (4), Christo (4), Anne Geddes (4), Gerardo (4), Edward Hopper (4), Gustav Klimt (4), Leonardo da Vinci (4), William Morris (4), Norman Rockwell (4), Mark Rothko (4), Andy Warhol (4), 
Lotus, Lotus art artist painting Franz Bischoff, Franz Bischoff (119), Osai (20), Parr (13), Erte (11), Erro (10), Leonardo da Vinci (5), Norman Rockwell (5), Mark Rothko (5), Ansel Adams (4), Edgar Degas (4), Edward Hopper (4), Wassily Kandinsky (4), Gustav Klimt (4), Roy Lichtenstein (4), Henri Matisse (4), Claude Monet (4), Georgia O'Keeffe (4), Pablo Picasso (4), Vincent van Gogh (4), 
Aloes, Wood, Aloes, Wood art artist painting Grant Wood, Grant Wood (91), An He (69), Jess (31), Christo (21), Mark Rothko (13), Gerard David (11), Lucas Cranach the Elder (8), Erte (8), Alexander Calder (7), Orso (7), Jackson Pollock (7), Wassily Kandinsky (5), Henri Matisse (5), Hans Memling (5), Peter Paul Rubens (5), Petrus Christus (4), John Steuart Curry (4), Jasper Johns (4), Roy Lichtenstein (4), Osai (4), Andy Warhol (4), 
Lemon, Lemon art artist painting Claude Monet, Claude Monet (89), Christo (79), Parr (31), Osai (24), Erte (17), Edouard Manet (13), Erro (12), Vincent van Gogh (9), Leonardo da Vinci (8), Christopher Brown (6), Pablo Picasso (6), Norman Rockwell (6), Mark Rothko (6), Gustav Klimt (5), Henri Matisse (5), Georgia O'Keeffe (5), Paul Cezanne (4), Edgar Degas (4), Anne Geddes (4), Edward Hopper (4), Roy Lichtenstein (4), Andy Warhol (4), 
Iris , Iris  art artist painting Louis Comfort Tiffany, Louis Comfort Tiffany (83), Piet Mondrian (72), Vincent van Gogh (60), Osai (36), Claude Monet (30), Erte (16), Pierre Joseph Redoute (16), Anne Geddes (6), Jess (6), Leonardo da Vinci (6), Dr. Seuss (5), 
Lily, Lily art artist painting Claude Monet, Claude Monet (274), Henri Fantin-Latour (58), Diego Rivera (12), Erte (10), Georgia O'Keeffe (10), Vincent van Gogh (10), Leonardo da Vinci (8), Anne Geddes (7), John Singer Sargent (7), An He (6), Edgar Degas (5), Erro (5), Edward Hopper (5), Gustav Klimt (5), Pierre Joseph Redoute (5), Dr. Seuss (5), Norman Rockwell (4), Mark Rothko (4), 
